Bengali,English
।,.
আমি,i am
না,no
তুমি,you
আমার,my
কি,what
এটা,it is
আর,And
তোমার,yours
আছে,there is
সে,he
এই,this
আমরা,we are
করে,by doing
হবে,will be
জন্য,for
আমাদের,our
করতে,to do
একটা,one
আমাকে,me
ঠিক,right
আপনি,you
তো,so
যে,that
তার,his
থেকে,from
কিছু,something
সাথে,with
কিন্তু,but
এখানে,here
তোমাকে,you
এখন,now
কোন,no
কথা,talk
মনে,in mind
কী,what
যদি,if
এবং,And
হয়,is
আপনার,your
নিয়ে,with
ছিল,was
তাকে,him
তারা,they are
নেই,no
হয়ে,become
তাহলে,then
অনেক,a lot
কেন,why
করা,to do
হ্যাঁ,yes
করো,do it
তাই,so
সব,all
এক,one
এর,of
হচ্ছে,being
যাও,go
কাজ,work
হয়েছে,has been
ও,And
কে,who
কাছে,near
শুধু,only
একটি,a
স্যার,sir
দাও,give it
তাদের,their
ভালো,good
যা,which
একজন,one
ভাল,well
জানি,i know
যেতে,to go
দিয়ে,with
খুব,very
কোথায়,where
করবে,will do
যাবে,will go
চাই,want
পারে,can
শেষ,the end
করার,to do
ধন্যবাদ,thank you
যখন,when
বলতে,to say
কেউ,someone
করি,I do
সময়,the time
তুই,you
গেছে,gone
বাবা,father
ওকে,ok
মত,like
সেটা,that
হতে,to be
চলে,move on
ওহ,oh
নয়,not
হ্যা,yes
একটু,a little
পারি,I can
দেখতে,to see
সবাই,everyone
আগে,before
দেখা,see
করছি,doing
তিনি,he
বের,get out
বলে,says
ঐ,that
কর,do
আবার,again
দিতে,to give
নাম,name
যায়,goes
ওর,her
পারবে,can
নাকি,or
কিভাবে,how
মধ্যে,in
তোমরা,you
ফিরে,back
আচ্ছা,ok
সাহায্য,help
আপনাকে,to you
মানুষ,people
তা,that
মা,mother
এ,A
করেছে,did
দিকে,towards
দরকার,need
সেই,that
আসলে,actually
শুরু,start
ওটা,that
দুঃখিত,sorry
দিন,day
চলো,come on
মানে,means
কিন্ত,but
তোর,your
তোমাদের,yours
করছে,doing
বলছি,saying
বিশ্বাস,faith
বন্ধ,off
করেছি,I did
এমন,such
অবশ্যই,of course
নিজের,own
কারণ,because
বড়,big
করবো,will do
বেশি,more
বছর,year
উপর,on
যাচ্ছে,is going
আসো,come on
চেষ্টা,try
তারপর,then
হল,Hall
হয়,is
হেই,hey
এসব,these
দেখো,look
কিছুই,nothing
কোনো,any
এটাই,That's it
আছি,I am
টাকা,money
যাচ্ছি,going
জানো,know
বুঝতে,to understand
আজ,today
ছিলো,was
বলো,tell me
মতো,like
ধরে,by holding
কখনো,ever
খারাপ,bad
কেমন,how
প্লিজ,please
মারা,die
পছন্দ,choice
সেখানে,there
চাও,want
নাও,take
সমস্যা,the problem
দেখে,see
নি,no
পর,after
থাকে,remains
এখনো,yet
